shop	courier	orderid	tracking	status	last_update
homeone	speedex	'66361	'700006645718	ΑΠΩΝ	28/01/2021, 11:15:00
homeone	speedex	'66017	'700006630957	ΑΠΩΝ	28/01/2021, 14:13:00
kidstoys	speedex	'104142	'700006613295	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	28/01/2021, 05:32:00
homeone	speedex	'65402	'700006604873	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	28/01/2021, 12:50:00
homeone	speedex	'65360	'700006606223	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	27/01/2021, 13:16:00
homeone	speedex	'65256	'700006606583	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	28/01/2021, 05:32:00
homeone	speedex	'65050	'700006598554	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	28/01/2021, 10:11:00
homeone	speedex	'65019	'700006598002	ΑΠΩΝ	28/01/2021, 13:55:00
homeone	speedex	'64863	'700006562179	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	28/01/2021, 12:56:00
homeone	speedex	'64358	'700006542200	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	27/01/2021, 13:25:00
homeone	speedex	'64486	'700006543953	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	26/01/2021, 13:17:00
homeone	speedex	'64311	'700006534526	ΠΑΡΑΛΑΒΗ ΑΠΟ ΣΤΑΘΜΟ - ΕΝΤΟΛΗ ΠΕΛΑΤΗ	23/01/2021, 15:30:00
homeone	speedex	'64511	'700006545188	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	27/01/2021, 05:32:00
homeone	speedex	'64503	'700006544925	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	25/01/2021, 16:33:00
homeone	speedex	'64491	'700006544185	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	26/01/2021, 16:27:00
homeone	speedex	'64536	'700006545442	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	28/01/2021, 13:18:00
